hs_idx,position_name,is_correct,gold_single,n,mean_margin,hits_at_1,hits_at_5,mrr
0,answer_prefix,False,False,11639,inf,0.04613798436291778,0.24546782369619383,0.16726565717653544
0,answer_prefix,False,True,693,-5.166989,0.011544011544011544,0.06926406926406926,0.09657576251262712
0,answer_prefix,True,False,7151,-4.3185067,0.04125297161236191,0.2247238148510698,0.1567417307083174
0,answer_prefix,True,True,687,-4.8584857,0.020378457059679767,0.06695778748180495,0.09807036074775898
0,entity_first,False,False,10691,inf,0.05471892245814236,0.2163502011037321,0.1670496564253824
0,entity_first,False,True,661,-4.877162,0.03328290468986384,0.17095310136157338,0.13586758278930072
0,entity_first,True,False,6484,-4.78602,0.05336212214682295,0.1986428130783467,0.1603465182175133
0,entity_first,True,True,663,-4.884115,0.015082956259426848,0.1282051282051282,0.11241081348406647
0,entity_last,False,False,10691,inf,0.059676363296230474,0.2366476475540174,0.17220032402428356
0,entity_last,False,True,661,-4.816377,0.01361573373676248,0.19364599092284418,0.12962746513956222
0,entity_last,True,False,6484,-4.840663,0.049814929056138185,0.22069710055521283,0.15971828382559652
0,entity_last,True,True,663,-4.840617,0.0196078431372549,0.17496229260935142,0.13191059297949637
0,entity_mean,False,False,10691,inf,0.06360490131886634,0.24216630810962492,0.1780408284386276
0,entity_mean,False,True,661,-5.277538,0.0,0.1437216338880484,0.11162577152430739
0,entity_mean,True,False,6484,-4.704276,0.05983960518198643,0.23149290561381863,0.1700291861208991
0,entity_mean,True,True,663,-5.2057505,0.0030165912518853697,0.14027149321266968,0.1130283985479303
0,final_prompt_token,False,False,11639,inf,0.10138328035054558,0.24297620070452788,0.20088310661055475
0,final_prompt_token,False,True,693,-5.422801,0.031746031746031744,0.10245310245310245,0.1157380789959852
0,final_prompt_token,True,False,7151,-4.6121807,0.0858621171864075,0.2409453223325409,0.1921477774708754
0,final_prompt_token,True,True,687,-5.622378,0.01455604075691412,0.06841339155749636,0.08727367979450071
0,first_generated_token,False,False,11639,inf,0.08127846034882721,0.2398831514734943,0.18925097199868188
0,first_generated_token,False,True,693,-4.97802,0.031746031746031744,0.1717171717171717,0.13340821459321886
0,first_generated_token,True,False,7151,-4.542848,0.06936092854146274,0.2290588728849112,0.1787562073129729
0,first_generated_token,True,True,687,-4.83502,0.021834061135371178,0.2096069868995633,0.13424826404580215
0,question_last,False,False,11639,inf,0.10078185411117793,0.24392129908067703,0.19986676913939985
0,question_last,False,True,693,-5.5068865,0.01443001443001443,0.08946608946608947,0.10488878711123488
0,question_last,True,False,7151,-4.575602,0.08837924765767026,0.241644525241225,0.19286714842114125
